J, Xi, Mu_f 
2.0,0.28303381933340166,6.938893903907228e-17,
2.02,0.2853169278804362,6.938893903907228e-17,
2.04,0.2875710438362318,6.938893903907228e-17,
2.06,0.28979648051252244,6.938893903907228e-17,
2.08,0.2919935567163453,6.938893903907228e-17,
2.1,0.2941625940927054,6.938893903907228e-17,
2.12,0.2963039174540672,6.938893903907228e-17,
2.14,0.2984178534827753,6.938893903907228e-17,
2.16,0.300504731171851,6.938893903907228e-17,
2.18,0.30256487960372835,6.938893903907228e-17,
2.2,0.3045986282575675,6.938893903907228e-17,
2.22,0.3066063073035889,6.938893903907228e-17,
2.24,0.3085882456552404,6.938893903907228e-17,
2.26,0.31054477137529635,6.938893903907228e-17,
2.2800000000000002,0.3124762120683902,6.938893903907228e-17,
2.3,0.31438289314083145,6.938893903907228e-17,
2.32,0.3162651385040642,6.938893903907228e-17,
2.34,0.31812326986769907,6.938893903907228e-17,
2.36,0.3199576074888319,6.938893903907228e-17,
2.38,0.32176846857588387,6.938893903907228e-17,
2.4,0.32355616783889835,6.938893903907228e-17,
2.42,0.32532101803205804,6.938893903907228e-17,
2.44,0.32706332825474155,6.938893903907228e-17,
2.46,0.3287834056015102,6.938893903907228e-17,
2.48,0.330481553572062,6.938893903907228e-17,
2.5,0.33215807262363606,6.938893903907228e-17,
2.52,0.3338132607227314,6.938893903907228e-17,
2.54,0.335447412051222,6.938893903907228e-17,
2.56,0.3370608175679465,6.938893903907228e-17,
2.58,0.33865376557356935,6.938893903907228e-17,
2.6,0.34022654028054106,6.938893903907228e-17,
2.62,0.34177942334285727,6.938893903907228e-17,
2.64,0.3433126925038005,6.938893903907228e-17,
2.66,0.3448266221395183,6.938893903907228e-17,
2.68,0.3463214838105773,6.938893903907228e-17,
2.7,0.34779754514399175,6.938893903907228e-17,
2.7199999999999998,0.3492550703787153,6.938893903907228e-17,
2.74,0.3506943209211304,6.938893903907228e-17,
2.76,0.3521155540813711,6.938893903907228e-17,
2.7800000000000002,0.35351902449825723,6.938893903907228e-17,
2.8,0.3549049829385034,6.938893903907228e-17,
2.8200000000000003,0.35627367681878697,6.938893903907228e-17,
2.84,0.3576253507376382,6.938893903907228e-17,
2.8600000000000003,0.3589602453130952,6.938893903907228e-17,
2.88,0.36027859852006183,6.938893903907228e-17,
2.9,0.3615806445859146,6.938893903907228e-17,
2.92,0.36286661448706525,6.938893903907228e-17,
2.94,0.3641367364505084,6.938893903907228e-17,
2.96,0.3653912350385548,6.938893903907228e-17,
2.98,0.3666303316413424,6.938893903907228e-17,
3.0,0.3678542449686212,6.938893903907228e-17,
3.02,0.3690631901613467,6.938893903907228e-17,
3.04,0.37025737927744784,6.938893903907228e-17,
3.06,0.3714370217677665,6.938893903907228e-17,
3.08,0.372602323621903,6.938893903907228e-17,
3.1,0.3737534878434618,6.938893903907228e-17,
3.12,0.37489071490170445,6.938893903907228e-17,
3.14,0.3760142019236635,6.938893903907228e-17,
3.16,0.37712414328391136,6.938893903907228e-17,
3.18,0.3782207303679729,6.938893903907228e-17,
3.2,0.37930415213342256,6.938893903907228e-17,
3.22,0.38037459435503956,6.938893903907228e-17,
3.24,0.38143224018304767,6.938893903907228e-17,
3.2600000000000002,0.3824772700469096,6.938893903907228e-17,
3.2800000000000002,0.38350986181295427,6.938893903907228e-17,
3.3,0.3845301903186041,6.938893903907228e-17,
3.3200000000000003,0.38553842816482464,6.938893903907228e-17,
3.34,0.38653474534978877,6.938893903907228e-17,
3.3600000000000003,0.38751930908034177,6.938893903907228e-17,
3.38,0.38849228425559923,6.938893903907228e-17,
3.4,0.38945383328761995,6.938893903907228e-17,
3.42,0.3904041143799,6.938893903907228e-17,
3.44,0.3913432882806306,6.938893903907228e-17,
3.46,0.3922715084327886,6.938893903907228e-17,
3.48,0.3931889275959589,6.938893903907228e-17,
3.5,0.39409569634678754,6.938893903907228e-17,
3.52,0.39499196272508186,6.938893903907228e-17,
3.54,0.39587787275248654,6.938893903907228e-17,
3.56,0.39675357003448186,6.938893903907228e-17,
3.58,0.39761919631576037,6.938893903907228e-17,
3.6,0.39847489086922094,6.938893903907228e-17,
3.62,0.3993207908671026,6.938893903907228e-17,
3.64,0.40015703158910326,6.938893903907228e-17,
3.66,0.40098374626544536,6.938893903907228e-17,
3.68,0.4018010657985458,6.938893903907228e-17,
3.7,0.4026091193961609,6.938893903907228e-17,
3.72,0.40340803420380394,6.938893903907228e-17,
3.74,0.40419793552947286,6.938893903907228e-17,
3.76,0.404978946487737,6.938893903907228e-17,
3.7800000000000002,0.40575118860435294,6.938893903907228e-17,
3.8,0.4065147814631643,6.938893903907228e-17,
3.8200000000000003,0.40726984282941997,6.938893903907228e-17,
3.84,0.4080164886778062,6.938893903907228e-17,
3.8600000000000003,0.40875483322014133,6.938893903907228e-17,
3.88,0.40948498893269986,6.938893903907228e-17,
3.9,0.4102070665832024,6.938893903907228e-17,
